what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1702317669335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317670579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317689442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317692277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317699368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317704997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317715737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317791250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317806787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317817169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317841872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1702317841892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317843579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317846130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702317856419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702318080483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702318081333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702318237775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702318238465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702318281025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702318281426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702320168596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702320170443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702320173718
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1702320173972
error,log,,,"Problems saving workspace",1702320175831
error,log,,,"Problems occurred while trying to save the state of the workbench.",1702320175833
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1702320176081
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1702320176088
